id,clusterkmeans,clustergmm,probcl0,probcl1,probcl2,probcl3,probcl4,probcl5,probcl6,probcl7,probcl8,probcl9,probmax,stability
9514,1,2,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.99,0.98
9515,0,2,0.47,0.0,0.52,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.52,0.05
9516,0,0,0.91,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.83
9517,2,2,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.99,0.98
9519,2,2,0.04,0.01,0.93,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.93,0.89
9520,2,0,0.84,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.69
9522,2,2,0.29,0.01,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.41
9523,1,2,0.0,0.0,0.98,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.98,0.97
9524,1,2,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.98,0.97
9526,1,2,0.0,0.0,0.94,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.94,0.89
9527,1,9,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.12
9528,1,9,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.95,0.95,0.92
9529,1,2,0.0,0.0,0.85,0.04,0.0,0.0,0.04,0.0,0.0,0.07,0.85,0.78
9530,1,2,0.0,0.0,0.73,0.07,0.0,0.0,0.2,0.0,0.0,0.0,0.73,0.53
9531,1,2,0.0,0.0,0.97,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.97,0.95
9532,1,2,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9534,2,2,0.36,0.02,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.26
9539,2,1,0.42,0.56,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.14
9540,2,1,0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9541,2,0,0.36,0.31,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.04
9542,2,0,0.87,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.77
9543,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9544,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9545,2,0,0.59,0.03,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.21
9546,2,2,0.1,0.04,0.85,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.85,0.75
9547,0,0,0.79,0.01,0.18,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.79,0.61
9548,2,2,0.0,0.0,0.74,0.01,0.0,0.0,0.24,0.0,0.0,0.0,0.74,0.5
9549,2,2,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.99,0.98
9550,2,2,0.0,0.0,0.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.92
9551,2,2,0.0,0.03,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.93
9554,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9555,2,2,0.0,0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9557,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9558,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9559,2,2,0.03,0.0,0.96,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.96,0.93
9560,2,0,0.51,0.48,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.03
9561,2,1,0.41,0.57,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.16
9562,2,3,0.0,0.44,0.07,0.47,0.0,0.0,0.0,0.02,0.0,0.0,0.47,0.03
9674,2,0,0.41,0.12,0.26,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.41,0.15
9677,2,1,0.06,0.81,0.06,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.81,0.75
9685,9,6,0.02,0.14,0.0,0.0,0.0,0.0,0.79,0.0,0.06,0.0,0.79,0.65
9686,9,6,0.0,0.18,0.0,0.0,0.0,0.0,0.69,0.0,0.13,0.0,0.69,0.51
9687,9,1,0.02,0.54,0.07,0.0,0.0,0.0,0.32,0.0,0.04,0.0,0.54,0.22
9689,8,2,0.0,0.25,0.39,0.0,0.0,0.0,0.09,0.0,0.27,0.0,0.39,0.12
9690,8,2,0.02,0.07,0.55,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.55,0.22
9691,8,8,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.92,0.04,0.92,0.88
9692,0,0,0.59,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.34,0.03,0.59,0.25
9693,0,8,0.12,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.78,0.08,0.78,0.66
9694,7,9,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.26,0.72,0.72,0.46
9695,7,9,0.01,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.09,0.52,0.52,0.13
9696,7,4,0.0,0.0,0.0,0.0,0.49,0.0,0.01,0.0,0.25,0.25,0.49,0.24
9697,0,6,0.02,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.2,0.26,0.51,0.25
9698,0,0,0.79,0.03,0.16,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.79,0.63
9699,0,2,0.36,0.04,0.57,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.57,0.21
9700,2,0,0.88,0.05,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.88,0.83
9701,2,0,0.85,0.06,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.85,0.77
9704,2,0,0.89,0.06,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.89,0.83
9705,9,0,0.91,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.91,0.85
9706,0,0,0.88,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.02,0.88,0.78
9707,0,9,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.94,0.94,0.91
9708,0,9,0.32,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.67,0.67,0.35
9709,7,9,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.96,0.96,0.94
9710,0,9,0.01,0.0,0.0,0.0,0.26,0.0,0.02,0.0,0.01,0.69,0.69,0.43
9711,7,9,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.01,0.93,0.93,0.88
9712,7,9,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.61,0.61,0.22
9713,0,9,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.99,0.99,0.98
9714,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.99,0.98
9715,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.99,0.98
9716,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.98,0.98,0.97
9717,0,9,0.0,0.0,0.39,0.0,0.0,0.0,0.01,0.0,0.0,0.6,0.6,0.21
9718,0,2,0.0,0.0,0.65,0.0,0.0,0.0,0.01,0.0,0.0,0.34,0.65,0.31
9719,0,0,0.66,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.27,0.66,0.39
9720,0,9,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.19,0.73,0.73,0.54
9721,9,0,0.88,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.02,0.01,0.88,0.79
9722,9,0,0.53,0.27,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.53,0.26
9724,9,6,0.32,0.04,0.01,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.62,0.3
9725,9,0,0.87,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.05,0.87,0.8
9726,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.9,0.82
9727,0,0,0.99,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9728,2,0,0.94,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.9
9729,2,0,0.81,0.12,0.02,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.81,0.69
9733,2,3,0.0,0.31,0.06,0.39,0.0,0.0,0.23,0.01,0.0,0.0,0.39,0.08
9734,2,1,0.0,0.95,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.95,0.91
9737,2,1,0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9738,2,0,0.42,0.4,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.02
9739,2,0,0.96,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.92
9742,9,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
9743,9,6,0.03,0.0,0.0,0.02,0.0,0.0,0.95,0.0,0.0,0.0,0.95,0.92
9744,0,0,0.95,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.95,0.92
9745,0,9,0.11,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.86,0.86,0.75
9746,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.99,0.98
9747,0,9,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.94,0.94,0.9
9748,0,0,0.38,0.28,0.0,0.01,0.0,0.0,0.09,0.0,0.0,0.24,0.38,0.1
9749,9,0,0.42,0.35,0.01,0.0,0.0,0.0,0.15,0.0,0.01,0.05,0.42,0.07
9750,0,0,0.47,0.29,0.08,0.0,0.0,0.0,0.11,0.0,0.0,0.05,0.47,0.18
9751,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.75,0.75,0.61
9752,7,9,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.74,0.74,0.49
9753,7,9,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.98,0.98,0.96
9754,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.99,0.98
9755,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.99,0.98
9756,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.99,0.98
9757,0,8,0.22,0.01,0.01,0.01,0.0,0.0,0.11,0.0,0.54,0.09,0.54,0.32
9758,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.85,0.7
